IP;ASN;{CVEs};[Ports];Time;AS_Desc
46.97.80.230;12302;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-04-12 05:02:22;Vodafone Romania
81.196.66.121;8708;{'CVE-2020-0796': 'MS SMBv3 RCE'};[5800, 1434, 445, 5357];2020-04-12 09:49:51;Digi Romania
86.35.48.171;9050;{'CVE-2020-0796': 'MS SMBv3 RCE'};[80, 445, 5357];2020-04-12 00:04:38;Telekom Romania
