IP;ASN;{CVEs};[Ports];Time;AS_Desc
178.18.199.125;50941;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[9090, 80, 1433, 25, 443, 3389];2020-12-01 02:42:45;Vargonen Teknoloji ve Bilisim Sanayi Ticaret Anoni
185.93.69.13;212369;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[80, 8080, 8083, 445, 135];2020-12-01 00:45:43;ibrahim tufek
185.93.69.21;61135;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[445, 3389, 21];2020-12-01 10:09:45;Comnet Bilgi Iletisim Teknolojileri Ticaret A.s.
94.102.78.74;8685;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[5985, 445, 135];2020-12-01 05:28:57;Doruk Iletisim ve Otomasyon Sanayi ve Ticaret A.S.
