IP;ASN;{CVEs};[Ports];Time;AS_Desc
178.157.13.186;42807;{'MS17-010': 'MS17-010'};[3389, 111, 445, 5357];2020-03-27 22:30:00;Aerotek Bilisim Sanayi ve Ticaret AS
178.18.197.77;43391;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8080, 389, 80, 3306, 587, 110, 143, 8880, 21, 25, 1433, 8443, 3389, 53];2020-03-27 02:09:17;Netdirekt A.S.
178.18.205.202;50941;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3306, 110, 143, 80, 53, 25, 1433, 1434, 443, 3389, 21];2020-03-27 09:53:31;Vargonen Network
185.122.200.98;43260;{'CVE-2020-0796': 'MS SMBv3 RCE'};[3389, 5357, 445];2020-03-27 13:41:43;Makdos Bilisim Teknolojileri San. Tic. Ltd. Sti.
185.122.203.220;43260;{'CVE-2020-0796': 'MS SMBv3 RCE'};[445];2020-03-27 23:54:22;Makdos Bilisim Teknolojileri San. Tic. Ltd. Sti.
185.93.69.25;42926;{'CVE-2020-0796': 'MS SMBv3 RCE'};[445, 3389];2020-03-27 17:02:41;Comnet Bilgi Iletisim Teknolojileri Ticaret A.s.
212.58.26.20;8685;{'CVE-2020-0796': 'MS SMBv3 RCE'};[3389, 21, 445];2020-03-27 03:35:57;Doruk Iletisim ve Otomasyon Sanayi ve Ticaret A.S.
212.58.4.80;8685;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-03-27 03:00:19;Doruk Iletisim ve Otomasyon Sanayi ve Ticaret A.S.
81.215.15.39;9121;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8080, 8081, 443, 3389];2020-03-27 23:28:52;Turk Telekom
90.159.22.217;9021;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3389];2020-03-27 03:57:07;Is Net Elektonik Bilgi Uretim Dagitim Ticaret ve I
