IP;ASN;{CVEs};[Ports];Time;AS_Desc
178.18.199.125;50941;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[9090, 80, 1433, 25, 443, 3389];2020-07-16 01:30:16;Vargonen Teknoloji ve Bilisim Sanayi Ticaret Anoni
178.18.202.10;50941;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 995, 2086, 2087, 587, 110, 143, 80, 2083, 53, 443, 21];2020-07-16 15:51:43;Vargonen Teknoloji ve Bilisim Sanayi Ticaret Anoni
178.18.202.11;50941;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 995, 2086, 2087, 587, 110, 143, 80, 465, 2083, 21, 443, 2077];2020-07-16 14:21:50;Vargonen Teknoloji ve Bilisim Sanayi Ticaret Anoni
178.18.206.71;50941;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 3306, 587, 110, 80, 465, 995, 21, 22, 443, 53];2020-07-16 13:04:17;Vargonen Teknoloji ve Bilisim Sanayi Ticaret Anoni
185.15.43.229;42807;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 995, 2086, 2095, 3306, 587, 143, 110, 111, 80, 465, 2083, 53, 22, 443];2020-07-16 00:55:47;Aerotek Bilisim Sanayi ve Ticaret
193.164.5.6;61135;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389, 445];2020-07-16 10:51:08;Comnet Bilgi Iletisim Teknolojileri Ticaret A.s.
195.142.2.243;199484;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2083, 2086, 2087, 587, 110, 143, 80, 465, 995, 53, 21];2020-07-16 11:55:24;SAGLAYICI Teknoloji Bilisim Yayincilik Hiz. Ticare
213.128.67.78;42926;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 587, 110, 143, 465, 995, 21, 443, 53];2020-07-16 08:04:31;Radore Veri Merkezi Hizmetleri A.S.
213.128.74.252;42926;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 995, 2086, 2087, 587, 110, 143, 80, 465, 2083, 21, 443, 53];2020-07-16 02:31:21;Radore Veri Merkezi Hizmetleri A.S.
31.186.29.71;199484;{'CVE-2016-9963': 'CVE-2016-9963', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 3306, 587, 110, 143, 80, 465, 53, 22, 25, 443, 21];2020-07-16 18:20:07;SAGLAYICI Teknoloji Bilisim Yayincilik Hiz. Ticare
31.207.83.98;42807;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2087, 3306, 587, 110, 143, 80, 465, 995, 53, 443];2020-07-16 10:14:59;Aerotek Bilisim Sanayi ve Ticaret
31.3.0.237;21245;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[137, 445];2020-07-16 21:28:49;Medianova Internet Hizmetleri Ve Ticaret Anonim Si
89.35.52.163;61135;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[3389, 445, 5357];2020-07-16 20:48:13;Comnet Bilgi Iletisim Teknolojileri Ticaret A.s.
