IP;ASN;{CVEs};[Ports];Time;AS_Desc
151.14.97.15;1267;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-04-11 07:06:51;Wind Tre
151.65.250.61;1267;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8080, 873, 443, 3389];2020-04-11 08:24:31;Wind Tre
156.54.27.15;20746;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389, 21];2020-04-11 12:44:48;Telecom Italia
77.95.142.211;28716;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-04-11 22:23:54;Reti Telematiche Italiane S.p.A. (Retelit S.p.A.)
