IP;ASN;{CVEs};[Ports];Time;AS_Desc
62.15.123.136;12479;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8089, 3389];2020-07-31 14:55:10;Jazztel
83.41.250.119;3352;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[80, 3050, 445];2020-07-31 10:14:14;Telefonica de Espana
