IP;ASN;{CVEs};[Ports];Time;AS_Desc
2.136.153.111;3352;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[53, 1723, 8181, 3389];2020-06-05 04:48:13;Telefonica de Espana Static IP
2.141.201.250;3352;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[445];2020-06-05 16:19:35;Telefonica de Espana
213.171.232.28;16206;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[137, 123, 3389];2020-06-05 04:04:24;Neutra Network Services S.L.
81.42.201.249;3352;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[443, 3389];2020-06-05 09:51:18;Telefonica de Espana Static IP
95.62.135.212;12430;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-05 11:42:17;Vodafone Spain
