IP;ASN;{CVEs};[Ports];Time;AS_Desc
147.52.71.60;6867;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3306, 80, 81, 1433, 1434, 443, 3389];2020-04-11 04:07:53;University of Crete
79.129.7.143;6799;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 443, 3389, 22, 23];2020-04-11 14:04:53;Cosmote
