IP;ASN;{CVEs};[Ports];Time;AS_Desc
186.10.75.170;6471;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[1723, 500, 10443];2021-01-06 00:47:33;Entel Chile
190.196.21.244;14259;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[1723, 443];2021-01-06 03:32:22;Gtd Internet S.A.
200.111.139.157;6471;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[443, 500, 1723];2021-01-06 09:29:40;Entel Chile
