IP;ASN;{CVEs};[Ports];Time;AS_Desc
179.104.110.183;unknown;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[];2020-11-25 13:37:05;unknown
189.154.69.14;unknown;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[];2020-11-25 19:59:15;unknown
201.171.190.184;unknown;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[];2020-11-25 23:05:44;unknown
3.26.5.5;unknown;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[];2020-11-25 01:49:24;unknown
89.141.186.163;unknown;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[];2020-11-25 01:32:40;unknown
