IP;ASN;{CVEs};[Ports];Time;AS_Desc
181.168.83.183;10318;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[443, 500, 21, 22, 1723, 3389];2020-12-14 02:11:04;Cablevision Argentina
190.15.200.194;27879;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8080, 80, 8880, 53, 1494, 2266, 1723, 3389];2020-12-14 05:55:23;Informática y Telecomunicaciones S.A.
