IP;ASN;{CVEs};[Ports];Time;AS_Desc
187.175.52.168;8151;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[1024, 5060, 554, 5357, 80, 82, 83, 1433, 445];2020-06-09 11:10:02;Telmex
189.180.212.19;8151;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[389, 8009, 5357, 445, 8080, 81, 82, 9080, 1434, 443, 3388, 3389];2020-06-09 22:17:09;Telmex
189.222.118.189;8151;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 83, 84, 3389];2020-06-09 18:58:18;Telmex
189.234.205.227;8151;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[139, 5357, 445];2020-06-09 11:12:35;Telmex
