IP;ASN;{CVEs};[Ports];Time;AS_Desc
218.214.219.198;9443;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[443, 4430, 80, 500, 8443, 1723];2020-03-27 10:12:44;Vocus Communications
52.147.10.118;8075;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-03-27 13:59:41;Microsoft Azure
58.162.130.32;1221;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3306, 3389];2020-03-27 04:56:11;Telstra Internet
59.100.251.74;2764;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[1723, 3388];2020-03-27 03:18:00;AAPT Limited
