IP;ASN;{CVEs};[Ports];Time;AS_Desc
103.9.103.38;58621;{'CVE-2016-9963': 'CVE-2016-9963', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 110, 80, 465, 995, 53, 22, 26, 443, 21];2020-06-27 21:58:06;Vodien Internet Solutions Pte
13.76.247.169;8075;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[5986, 139, 3389, 80, 53, 445];2020-06-27 13:46:56;Microsoft Azure
