IP;ASN;{CVEs};[Ports];Time;AS_Desc
107.151.161.37;21859;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3389, 445, 8090, 21];2020-10-22 06:51:55;Zenlayer
24.196.97.242;20115;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[4443, 3389];2020-10-22 12:53:45;Spectrum
4.4.48.5;3356;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-10-22 02:18:55;Level 3 Communications
63.143.42.57;46475;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[5357, 3389, 445];2020-10-22 10:53:45;Limestone Networks
71.229.97.82;7922;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8080, 8081, 1723];2020-10-22 15:11:54;Comcast Cable
