IP;ASN;{CVEs};[Ports];Time;AS_Desc
104.5.144.33;7018;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-05-07 11:10:57;AT&T U-verse
107.151.161.34;21859;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 21, 3389, 445];2020-05-07 14:03:52;Zenlayer
108.175.220.18;54706;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 4443, 3389];2020-05-07 18:31:07;Zray Technologies Corporation
12.149.180.155;7018;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-05-07 18:24:59;AT&T Services
12.168.82.164;7018;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[8019, 445, 5357];2020-05-07 14:45:01;AT&T Services
12.41.151.155;7018;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[443];2020-05-07 09:44:31;AT&T Services
12.8.127.37;7018;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-05-07 20:54:06;AT&T Services
130.185.183.222;33597;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 443, 3389];2020-05-07 17:50:11;Atlantic Metro Communications II
166.157.147.246;22394;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3389];2020-05-07 09:18:47;Verizon Wireless
198.7.227.68;14325;{'CVE-2019-11510': 'PulseSecure VPN RCE'};[80, 443];2020-05-07 04:04:51;OSHEAN
199.171.14.125;27600;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 515, 3389];2020-05-07 14:56:06;Arlington Hospital
199.26.184.28;55236;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 8008, 8010, 443];2020-05-07 05:24:35;CBC
199.66.102.131;25843;{'CVE-2019-19781': 'Citrix RCE (Shitrix)', 'CVE-2015-0204': 'CVE-2015-0204'};[80, 443];2020-05-07 18:59:41;EvolveIP, LLC
204.132.92.3;209;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[443];2020-05-07 13:06:15;CenturyLink
206.210.162.73;23431;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[443];2020-05-07 18:17:10;Adventist Health
207.191.231.12;22458;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-05-07 10:30:30;NetSource Communications
216.115.5.131;36012;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-05-07 18:24:37;Hunter Communications
216.23.202.20;11766;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-05-07 23:55:46;Meriplex Communications
4.31.103.229;3356;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-05-07 01:54:42;Level 3 Communications
47.23.144.26;6128;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[9000, 8000, 3389, 9001];2020-05-07 12:41:07;Optimum Online
50.17.197.110;14618;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 1433, 3389];2020-05-07 10:40:38;Amazon.com
