IP;ASN;{CVEs};[Ports];Time;AS_Desc
104.171.225.50;135356;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[32400, 9090, 8291, 53, 3389];2020-06-09 13:15:34;Cn Care Network
165.166.181.148;2711;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[443];2020-06-09 08:10:32;Spirit Communications
166.62.43.110;26496;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3306, 110, 143, 80, 23, 25, 1434, 3389];2020-06-09 13:08:59;GoDaddy.com, LLC
167.206.147.215;6128;{'CVE-2019-11510': 'PulseSecure VPN RCE'};[80, 443];2020-06-09 17:31:09;Optimum Online
192.94.108.177;1252;{'CVE-2019-11510': 'PulseSecure VPN RCE'};[443];2020-06-09 07:08:35;University of Nebraska Medical Center
198.245.192.135;3356;{'CVE-2019-11510': 'PulseSecure VPN RCE'};[80, 443];2020-06-09 09:17:44;Level 3 Communications
199.26.119.166;394117;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-09 17:07:32;Encore Communications
199.27.235.92;22571;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-06-09 01:16:56;DataBank Holdings
216.180.152.178;23314;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3388, 445, 80, 443, 444, 3389];2020-06-09 04:54:36;Summit Broadband
34.197.211.210;14618;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-06-09 13:45:22;Amazon.com
63.134.216.90;14992;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 8080, 53, 3389, 21];2020-06-09 15:58:51;Newtek Technology Solutions
64.85.235.245;11404;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[444, 3389];2020-06-09 08:40:29;Wave Broadband
65.182.170.130;22458;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-09 00:08:29;NetSource Communications
67.113.51.152;7018;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-06-09 18:52:09;AT&T Internet Services
70.184.195.57;22773;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[443];2020-06-09 15:03:26;Cox Business
74.208.68.43;8560;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 443, 3389];2020-06-09 04:00:04;1&1 Internet AG
96.45.123.213;19271;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[443];2020-06-09 16:16:12;Peak 10
