IP;ASN;{CVEs};[Ports];Time;AS_Desc
212.48.68.119;20738;{'CVE-2016-9963': 'CVE-2016-9963', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 2086, 2087, 80, 3306, 587, 110, 143, 10000, 465, 2083, 21, 443, 2096];2020-08-01 23:26:44;Host Europe GmbH
46.32.234.70;20738;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8880, 8443, 110, 143, 80, 21, 25, 443, 3389, 53];2020-08-01 21:21:47;Host Europe GmbH
83.223.107.62;29017;{'CVE-2016-9963': 'CVE-2016-9963', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 2096, 110, 143, 80, 465, 53, 26, 443, 21];2020-08-01 15:27:18;Gyron Internet Ltd
