IP;ASN;{CVEs};[Ports];Time;AS_Desc
109.75.173.234;29550;{'CVE-2016-9963': 'CVE-2016-9963', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 3306, 587, 110, 143, 80, 465, 21, 443];2020-07-18 05:48:23;Simply Transit Ltd
185.17.180.246;21396;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 443, 3389, 21];2020-07-18 23:45:18;Nimbus Hosting Ltd.
213.123.170.118;2856;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[443, 3389];2020-07-18 19:04:19;BT
87.117.230.240;20860;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 3306, 587, 80, 465, 995, 53, 443, 21];2020-07-18 14:54:36;Iomart Cloud Services Limited
