IP;ASN;{CVEs};[Ports];Time;AS_Desc
177.131.13.127;262375;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[443, 137, 445, 80, 21, 7547, 3389];2020-06-21 07:24:54;Data Info Comercio e Servico Ltda.
177.141.137.248;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3306, 21, 5357, 3389];2020-06-21 23:59:11;Claro NET
177.159.127.227;18881;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[137, 4444, 3389, 22, 5357];2020-06-21 03:43:01;Vivo
177.191.103.177;53006;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8080, 7547, 3388];2020-06-21 18:34:13;Algar Telecom
177.92.165.11;61918;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8000, 3389];2020-06-21 19:49:49;Raluel Comercio Ltda Me
187.95.29.4;53081;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[9001, 1883, 3389];2020-06-21 18:55:44;Netjacarei Telecon Ltda
189.27.149.25;10429;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[81, 3389, 22, 37777];2020-06-21 21:46:33;Vivo
191.187.225.177;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[9000, 1433, 9002, 3389, 80];2020-06-21 07:46:48;Claro NET
200.150.175.66;265303;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[37777, 3389];2020-06-21 04:07:01;TV Alphaville Sistema de TV por Assinatura LTDA
201.68.188.27;27699;{'CVE-2019-1652': 'CVE-2019-1652', 'CVE-2019-1653': 'Cisco WAN VPN Router unauth access'};[1723, 8081, 5443, 443, 53];2020-06-21 11:26:11;Vivo
201.73.227.142;4230;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-06-21 09:19:07;Claro S.A.
201.81.203.63;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-21 23:05:44;Claro NET
