IP;ASN;{CVEs};[Ports];Time;AS_Desc
177.223.7.46;52699;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 8443, 137, 8080, 8009, 443, 3389];2020-04-14 20:57:50;ItaNet
177.30.98.97;26615;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[123, 3389, 53];2020-04-14 00:20:26;TIM LIVE
179.157.19.39;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[37777, 3389];2020-04-14 23:54:12;NET Virtua
186.192.21.9;262726;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 137, 3389];2020-04-14 14:16:30;Cortez On Line Provedor De Internet Ltda - Me
187.95.28.87;53081;{'CVE-2020-0796': 'MS SMBv3 RCE'};[1723, 445];2020-04-14 16:31:44;Netjacarei Telecon Ltda
189.124.116.162;28292;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3389];2020-04-14 22:40:26;Engeplus Informatica Ltda
189.127.15.26;27693;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[993, 443, 587, 143, 37777, 25, 1723, 444, 3389, 445];2020-04-14 15:05:13;NipCable do Brasil Telecom LTDA
189.58.50.232;18881;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-04-14 16:35:26;Vivo
200.98.138.102;7162;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3389, 21];2020-04-14 02:46:17;UOL Cloud Computing
201.182.223.43;267541;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[2000, 8080, 3333, 3389, 1433];2020-04-14 14:02:35;Brasilnet Internet Banda Larga Ltda-me
