IP;ASN;{CVEs};[Ports];Time;AS_Desc
167.250.67.94;265204;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[9000, 5353, 554, 22, 8090, 3389];2020-12-01 19:04:29;Linkfire Telecom Ltda
177.100.206.60;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3306, 3389];2020-12-01 22:05:39;Claro NET
179.100.105.121;27699;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[443];2020-12-01 00:56:28;Vivo
187.21.94.74;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3050, 3389];2020-12-01 03:24:50;NET Virtua
189.62.15.105;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8080, 3389];2020-12-01 14:36:14;Claro NET
201.94.203.119;22689;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8081, 3389];2020-12-01 15:53:07;Sercomtel Participacoes S.A.
