IP;ASN;{CVEs};[Ports];Time;AS_Desc
177.201.219.55;8167;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389, 23];2020-05-14 04:00:38;Oi Internet
177.205.68.30;18881;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-05-14 09:16:57;Vivo
187.21.238.6;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3389];2020-05-14 09:04:24;NET Virtua
187.75.158.211;27699;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[5900, 500, 22, 5432, 443, 3389];2020-05-14 23:10:03;Vivo
191.187.49.113;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3306, 3389];2020-05-14 12:23:25;Claro NET
