IP;ASN;{CVEs};[Ports];Time;AS_Desc
168.205.125.0;263661;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-16 16:05:51;BRASIL DIGITAL TELECOM
177.100.198.245;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3306, 3389];2020-06-16 04:13:38;Claro NET
177.198.77.87;26599;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[5800, 3306, 3389];2020-06-16 11:12:21;Vivo
189.39.123.254;28310;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 9443, 5800, 8009, 5900, 8080, 443, 2012, 3389];2020-06-16 11:08:38;Smart Telecomunicações E Serviços Eirelli Epp
201.68.188.177;27699;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-16 17:13:51;Vivo
