IP;ASN;{CVEs};[Ports];Time;AS_Desc
168.195.254.245;262373;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[123, 3389];2020-05-10 03:11:07;Bahianet Ltda.
177.157.122.20;10429;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-05-10 13:44:38;Vivo
177.80.63.23;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[5432, 3389];2020-05-10 23:39:13;Claro NET
177.99.168.146;18881;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[5060, 80, 37777, 22, 23, 3389];2020-05-10 04:41:30;Vivo
179.177.63.55;18881;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-05-10 15:35:11;Vivo
191.209.110.134;27699;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8000, 80, 3389, 23];2020-05-10 04:46:08;Vivo
