IP;ASN;{CVEs};[Ports];Time;AS_Desc
167.250.67.94;265204;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[9000, 5353, 554, 22, 8090, 3389];2021-01-06 03:51:06;Linkfire Telecom Ltda
177.100.206.60;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3306, 3389];2021-01-06 22:17:26;Claro NET
177.220.205.150;25933;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[443, 1723, 3389, 22];2021-01-06 03:51:09;Vogel Solucoes em Telecom e Informatica S/A
179.108.169.62;28642;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[8000, 443, 1723, 8008, 500, 53, 8443];2021-01-06 02:01:36;Contato Internet EIRELI
179.232.141.219;28573;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[37777, 9090, 1723, 8181];2021-01-06 03:08:57;Claro NET
187.21.238.39;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3389];2021-01-06 02:10:09;Claro NET
187.60.228.11;28644;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[1723, 443, 500, 53];2021-01-06 03:33:58;Brasilsite Telecomunicacoes Ltda.
189.80.205.130;7738;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[5443, 443, 500, 53];2021-01-06 09:09:30;Oi Velox
191.162.237.61;26615;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[2000, 1723, 9981];2021-01-06 04:04:16;TIM Brasil
191.180.252.110;28573;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[5353, 443, 22];2021-01-06 08:57:55;Claro NET
200.146.201.225;16735;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[443, 1723];2021-01-06 04:01:35;Algar Telecom
200.170.225.132;11432;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[80, 443];2021-01-06 04:10:44;Telium Telecomunicacoes Ltda
200.225.238.49;16735;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[49152, 443, 1723, 53];2021-01-06 08:45:47;Algar Telecom
