IP;ASN;{CVEs};[Ports];Time;AS_Desc
177.131.13.127;262375;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[443, 137, 445, 80, 21, 7547, 3389];2020-03-25 00:08:49;Data Info Comercio e Servico Ltda.
177.21.200.44;262877;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[10000, 8080, 81, 554, 80, 8081, 8090, 3389, 3390];2020-03-25 06:41:01;Miragenet Telecomunicacoes Ltda
177.23.107.99;52907;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[2000, 1723, 8291, 3389];2020-03-25 08:46:49;Empresa Mineira De Telecomunicaçoes Ltda -me
177.99.168.146;18881;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[5060, 80, 37777, 22, 23, 3389];2020-03-25 16:34:20;Vivo
186.212.64.221;18881;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-03-25 02:51:39;Vivo
200.201.220.68;10733;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-03-25 13:22:07;Dc Matrix Internet S/a
200.205.21.202;10429;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[2000, 80, 443];2020-03-25 06:46:17;Vivo
