IP;ASN;{CVEs};[Ports];Time;AS_Desc
177.134.32.87;10429;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-23 12:33:09;Vivo
177.198.77.87;26599;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[5800, 3306, 3389];2020-06-23 17:26:17;Vivo
177.21.200.44;262877;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[10000, 8080, 81, 554, 80, 8081, 8090, 3389, 3390];2020-06-23 02:16:38;Miragenet Telecomunicacoes Ltda
187.108.193.153;53107;{'CVE-2016-9963': 'CVE-2016-9963', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[2082, 2083, 2086, 2087, 3306, 587, 80, 465, 53, 443];2020-06-23 13:44:10;EVEO Servicos de Internet Ltda.
189.112.48.198;16735;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 1194, 7547, 3389];2020-06-23 21:10:58;Algar Telecom
189.44.151.246;10429;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[2000, 161, 8291, 3389, 21];2020-06-23 15:23:44;Vivo
201.28.36.184;10429;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-23 23:28:27;Vivo
201.63.194.177;10429;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[2000, 161, 8291, 3389, 21];2020-06-23 04:54:04;Vivo
