IP;ASN;{CVEs};[Ports];Time;AS_Desc
77.92.13.132;43356;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 443, 1900, 3389, 53];2020-09-06 19:17:59;Comtech Ticaret LTD.
77.92.4.110;43356;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8888, 3389];2020-09-06 09:36:24;Comtech Ticaret LTD.
