IP;ASN;{CVEs};[Ports];Time;AS_Desc
181.49.198.66;14080;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[445, 5357, 135];2020-11-27 18:23:33;Telmex Colombia S.A.
186.154.90.210;19429;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[137, 3306, 21, 3389, 5357];2020-11-27 19:30:39;ETB
190.24.11.83;19429;{'MS17-010': 'MS17-010'};[137, 445, 5357];2020-11-27 07:17:17;ETB
