IP;ASN;{CVEs};[Ports];Time;AS_Desc
196.202.70.173;8452;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[1433, 3389];2020-10-19 03:32:30;TE Data
84.205.98.141;31619;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[1434, 445, 5357];2020-10-19 04:26:58;City Stars
