IP;ASN;{CVEs};[Ports];Time;AS_Desc
136.144.170.14;20857;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 587, 110, 143, 80, 465, 21, 22, 25, 443, 53];2020-07-30 00:12:34;Transip B.V.
136.144.201.6;20857;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 587, 2222, 143, 80, 465, 110, 25, 443, 21, 53];2020-07-30 23:05:55;Transip B.V.
136.144.203.146;20857;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 2222, 587, 110, 143, 80, 465, 21, 25, 443, 53];2020-07-30 05:10:11;Transip B.V.
136.144.204.16;20857;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 587, 110, 2222, 143, 80, 21, 25, 443, 53];2020-07-30 20:03:36;Transip B.V.
