IP;ASN;{CVEs};[Ports];Time;AS_Desc
176.102.246.12;57563;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[137, 445];2020-08-17 08:39:58;isfahan university of medical sciences & health se
5.160.123.164;42337;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 995, 587, 110, 143, 80, 465, 8083, 21, 25, 443];2020-08-17 12:36:47;Respina Networks & Beyond PJSC
