IP;ASN;{CVEs};[Ports];Time;AS_Desc
1.10.239.124;23969;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[7547, 3389];2020-08-16 11:22:28;TOT
103.40.116.151;133751;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 995, 80, 3306, 110, 143, 8080, 465, 123, 53, 22, 8443, 25, 443, 8083];2020-08-16 12:36:07;Pacific Net Venture Co.
182.52.113.176;23969;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3389];2020-08-16 13:33:35;TOT
182.52.113.179;23969;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3389];2020-08-16 22:04:41;TOT
182.52.224.13;23969;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[443, 3389, 23];2020-08-16 21:19:37;TOT
203.151.157.1;4618;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[80, 995, 389, 8009, 3306, 587, 110, 2222, 111, 8080, 11211, 4949, 22, 25, 443, 21, 53];2020-08-16 04:10:46;Internet Thailand Company Limited
203.154.222.35;4618;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[1433, 3389];2020-08-16 15:01:39;Internet Thailand Company Limited
27.254.41.183;9891;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2016-9963': 'CVE-2016-9963'};[993, 995, 465, 3306, 587, 110, 143, 80, 81, 53, 25, 443, 21];2020-08-16 12:31:52;CS LoxInfo
