IP;ASN;{CVEs};[Ports];Time;AS_Desc
125.26.72.88;23969;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[7547];2021-02-11 20:25:53;TOT
171.100.87.41;17552;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[5000, 80, 53, 3000, 1723, 3389, 21];2021-02-11 02:17:51;True Online
171.7.71.111;45629;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[137, 23, 8080, 22, 8009, 445];2021-02-11 11:29:21;3BB Broadband
180.183.119.136;45629;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[2000, 8081, 1723, 3389];2021-02-11 08:18:44;3BB Broadband
183.89.102.200;45629;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2021-02-11 20:24:37;3BB Broadband
