IP;ASN;{CVEs};[Ports];Time;AS_Desc
1.179.208.170;131293;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 81, 554, 3389, 37777];2020-08-21 18:43:31;TOT
103.40.116.151;133751;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 995, 80, 3306, 110, 143, 8080, 465, 123, 53, 22, 8443, 25, 443, 8083];2020-08-21 06:10:33;Pacific Net Venture Co.
119.59.103.198;56067;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 995, 3306, 587, 110, 143, 80, 465, 53, 22, 25, 443, 21];2020-08-21 21:06:22;MetraByte
171.99.128.130;7470;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8443, 1723, 22, 3389];2020-08-21 11:17:35;True Internet
210.86.171.106;7470;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[443, 3389, 22, 23];2020-08-21 08:30:09;True Internet
27.254.41.183;9891;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2016-9963': 'CVE-2016-9963'};[993, 995, 465, 3306, 587, 110, 143, 80, 81, 53, 25, 443, 21];2020-08-21 12:55:35;CS LoxInfo
