IP;ASN;{CVEs};[Ports];Time;AS_Desc
110.77.139.149;131090;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8080, 3389, 21];2020-08-19 21:29:26;CAT Telecom public company Ltd
119.110.206.232;24218;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3306, 443, 3389, 21];2020-08-19 16:04:41;Symphony Communication
14.207.122.248;45629;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[50000, 37777, 3389];2020-08-19 04:23:12;3BB Broadband
49.49.197.130;45629;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8000, 80, 3389];2020-08-19 13:02:58;3BB Broadband
