IP;ASN;{CVEs};[Ports];Time;AS_Desc
119.110.206.232;24218;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3306, 443, 3389, 21];2020-06-26 15:26:53;Symphony Communication
119.59.103.198;56067;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 3306, 587, 110, 143, 80, 465, 53, 22, 25, 443, 21];2020-06-26 15:29:35;MetraByte
119.59.116.31;56067;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 587, 110, 143, 80, 465, 53, 22, 443, 21];2020-06-26 10:24:27;MetraByte
203.151.157.1;4618;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[80, 995, 389, 8009, 3306, 587, 110, 2222, 111, 8080, 11211, 4949, 22, 25, 443, 21, 53];2020-06-26 17:57:33;Internet Thailand Company Limited
203.151.20.123;4618;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[139, 80, 21, 1434, 3389, 1311];2020-06-26 07:40:07;Internet Thailand Company Limited
203.151.232.67;4618;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[10000, 995, 993, 80, 3306, 587, 110, 8080, 8081, 53, 25, 443, 21];2020-06-26 03:09:07;Internet Thailand Company Limited
210.86.170.58;7470;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[81, 443, 500, 1723, 10443];2020-06-26 18:38:21;True Internet
210.86.171.106;7470;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[443, 3389, 22, 23];2020-06-26 07:55:20;True Internet
